failure_mode_index,name_subsystem,Bop - BOP RDT,name_component,code_component,failure_mode_name,failure_mode_code,,,,,,diagnostic_coverage,,,,,,,,,tipo,exp_failure_rate,label_scale_parameter,labe_form_parameter,step_initial_failure_rate,step_increase_per_cicle,cicles_to_replace,step_cicle_size,constant_probability
20,Blind Shear,BSR,BSR Shuttle Valve SV2,BSR_SV2,BSR Shuttle Valve SV2 Modular PODs or Acoustic AMF fails to open,BSR_SV2_FTO,,168,336,,43680,x,"0,9","0,9",,1,,,,,Exponential,"0,00000396",,,,,,,
21,Blind Shear,BSR,BSR Shuttle Valve SV3,BSR_SV3,BSR Shuttle Valve SV3 Modular PODs fails to open,BSR_SV3_FTO_NO_CCF,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000396",,,,,,,
22,Blind Shear,BSR,BSR Shuttle Valve SV4,BSR_SV4,BSR Shuttle Valve SV4 Acoustic or AMF fails to open,BSR_SV4_FTO_NO_CCF,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000396",,,,,,,
24,Casing Shear,CSR,Casing Shear Ram,CSR,Casing Shear Ram fails to shear the casing,CSR_FTS,,,,2184,43680,,,,"0,9",1,,,,,Probability,"0,0000937",,,,,,,"0,001"
25,Casing Shear,CSR,CSR Shuttle Valve SV1,CSR_SV1,CSR Shuttle Valve SV1 ROV or other fails to open,CSR_SV1_FTO,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000396",,,,,,,
26,Casing Shear,CSR,CSR Shuttle Valve SV2,CSR_SV2,CSR Shuttle Valve SV2 Modular PODs or Acoustic AMF fails to open,CSR_SV2_FTO,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000396",,,,,,,
27,Casing Shear,CSR,CSR Shuttle Valve SV3,CSR_SV3,CSR Shuttle Valve SV3 Modular PODs fails to open,CSR_SV3_FTO_NO_CCF,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000396",,,,,,,
28,Casing Shear,CSR,CSR Shuttle Valve SV4,CSR_SV4,CSR Shuttle Valve SV4 Acoustic or AMF fails to open,CSR_SV4_FTO_NO_CCF,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000396",,,,,,,
30,SEM Blue,SEM_B,SEM A of Blue POD,SEM_BA,SEM A of Blue POD fails to function,SEM_BA_FTF_NO_CCF,,,336,,43680,"0,6",,"0,9",,1,,,96,,Exponential,"0,00000341",,,,,,,
31,SEM Blue,SEM_B,SEM B of Blue POD,SEM_BB,SEM B of Blue POD fails to function,SEM_BB_FTF_NO_CCF,,,336,,43680,"0,6",,"0,9",,1,,,96,,Exponential,"0,00000341",,,,,,,
33,SEM Yellow,SEM_Y,SEM A of Yellow POD,SEM_YA,SEM A of Yellow POD fails to function,SEM_YA_FTF_NO_CCF,,,336,,43680,"0,6",,"0,9",,1,,,96,,Exponential,"0,00000341",,,,,,,
34,SEM Yellow,SEM_Y,SEM B of Yellow POD,SEM_YB,SEM B of Yellow POD fails to function,SEM_YB_FTF_NO_CCF,,,336,,43680,"0,6",,"0,9",,1,,,96,,Exponential,"0,00000341",,,,,,,
37,AMF Blue,AMF_B,AMF Card A of Blue POD,AMF_BA,AMF Card A of Blue POD fails to function,AMF_BA_FTF_NO_CCF,,,336,,43680,"0,6",,"0,9",,1,,,96,,Exponential,"0,00000341",,,,,,,
38,AMF Blue,AMF_B,AMF Card B of Blue POD,AMF_BB,AMF Card B of Blue POD fails to function,AMF_BB_FTF_NO_CCF,,,336,,43680,"0,6",,"0,9",,1,,,96,,Exponential,"0,00000341",,,,,,,
40,AMF Yellow,AMF_Y,AMF Card A of Yellow POD,AMF_YA,AMF Card A of Yellow POD fails to function,AMF_YA_FTF_NO_CCF,,,336,,43680,"0,6",,"0,9",,1,,,96,,Exponential,"0,00000341",,,,,,,
41,AMF Yellow,AMF_Y,AMF Card B of Yellow POD,AMF_YB,AMF Card B of Yellow POD fails to function,AMF_YB_FTF_NO_CCF,,,336,,43680,"0,6",,"0,9",,1,,,96,,Exponential,"0,00000341",,,,,,,
44,POD Blue,POD_B,BSR Solenoid Valve of Blue POD,POD_BBSRSL,Blue POD Solenoid Valve to close BSR fails to function,POD_BBSRSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
45,POD Yellow,POD_Y,BSR Solenoid Valve of Yellow POD,POD_YBSRSL,Yellow POD Solenoid Valve to close BSR fails to function,POD_YBSRSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
47,POD Blue,POD_B,CSR Solenoid Valve of Blue POD,POD_BCSRSL,Blue POD Solenoid Valve to close CSR fails to function,POD_BCSRSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
48,POD Yellow,POD_Y,CSR Solenoid Valve of Yellow POD,POD_YCSRSL,Yellow POD Solenoid Valve to close CSR fails to function,POD_YCSRSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
50,POD Blue,POD_B,UAP Solenoid Valve of Blue POD,POD_BUAPSL,Blue POD Solenoid Valve to close UAP fails to function,POD_BUAPSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
51,POD Yellow,POD_Y,UAP Solenoid Valve of Yellow POD,POD_YUAPSL,Yellow POD Solenoid Valve to close UAP fails to function,POD_YUAPSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
53,POD Blue,POD_B,UAP Solenoid Valve of Blue MOD,MOD_BUAPSL,Blue MOD Solenoid Valve to close UAP fails to function,MOD_BUAPSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
54,POD Yellow,POD_Y,UAP Solenoid Valve of Yellow MOD,MOD_YUAPSL,Yellow MOD Solenoid Valve to close UAP fails to function,MOD_YUAPSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
56,POD Blue,POD_B,LAP Solenoid Valve of Blue POD,POD_BLAPSL,Blue POD Solenoid Valve to close LAP fails to function,POD_BLAPSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
57,POD Yellow,POD_Y,LAP Solenoid Valve of Yellow POD,POD_YLAPSL,Yellow POD Solenoid Valve to close LAP fails to function,POD_YLAPSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
59,POD Blue,POD_B,LAP Solenoid Valve of Blue MOD,MOD_BLAPSL,Blue MOD Solenoid Valve to close LAP fails to function,MOD_BLAPSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
60,POD Yellow,POD_Y,LAP Solenoid Valve of Yellow MOD,MOD_YLAPSL,Yellow MOD Solenoid Valve to close LAP fails to function,MOD_YLAPSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
62,POD Blue,POD_B,UPR Solenoid Valve of Blue POD,POD_BUPRSL,Blue POD Solenoid Valve to close UPR fails to function,POD_BUPRSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
63,POD Yellow,POD_Y,UPR Solenoid Valve of Yellow POD,POD_YUPRSL,Yellow POD Solenoid Valve to close UPR fails to function,POD_YUPRSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
65,POD Blue,POD_B,LPR Solenoid Valve of Blue POD,POD_BLPRSL,Blue POD Solenoid Valve to close LPR fails to function,POD_BLPRSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
66,POD Yellow,POD_Y,LPR Solenoid Valve of Yellow POD,POD_YLPRSL,Yellow POD Solenoid Valve to clos LPR fails to function,POD_YLPRSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
68,POD Blue,POD_B,LPR Solenoid Valve of Blue MOD,MOD_BLPRSL,Blue MOD Solenoid Valve to close LPR fails to function,MOD_BLPRSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
69,POD Yellow,POD_Y,LPR Solenoid Valve of Yellow MOD,MOD_YLPRSL,Yellow MOD Solenoid Valve to close LPR fails to function,MOD_YLPRSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
71,POD Blue,POD_B,Connector LMRP Solenoid Valve of Blue POD,POD_BCLMRPSL,Blue POD Solenoid Valve to unlock connector LMRP fails to function,POD_BCLMRPSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
72,POD Yellow,POD_Y,Connector LMRP Solenoid Valve of Yellow POD,POD_YCLMRPSL,Yellow POD Solenoid Valve to unlock BSR fails to function,POD_YCLMRPSL_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000396",,,,,,,
74,POD Regulator Blue,POD_BREG,Regulator 1 of Blue POD,POD_BREG1,Blue POD Supply Regulator 1 fails to function,POD_BREG1_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000324",,,,,,,
75,POD Regulator Yellow,POD_YREG,Regulator 1 of Yellow POD,POD_YREG1,Yellow POD Supply Regulator 1 fails to function,POD_YREG1_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000324",,,,,,,
77,POD Regulator Blue,POD_BREG,Regulator 2 of Blue POD,POD_BREG2,Blue POD overpressure release regulator 2 fails to function,POD_BREG2_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000324",,,,,,,
78,POD Regulator Yellow,POD_YREG,Regulator 2 of Yellow POD,POD_YREG2,Yellow POD overpressure release regulator 2 fails to function,POD_YREG2_FTF_NO_CCF,,,336,,43680,,,"0,95",,1,,,96,,Exponential,"0,00000324",,,,,,,
80,AVP Regulator,AVP_REG,AVP Regulator,AVP_REG,AVP Regulator fails to function,AVP_REG_FTF,,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,00000208",,,,,,,
81,AP Regulator,AP_REG,AP Regulator,AP_REG,AP Regulator fails to function,AP_REG_FTF,,168,,,43680,,"0,9",,,1,,,,,Exponential,"0,00000208",,,,,,,
82,Conduit Valve Package Blue,CVP_B,CVP Conduit Isolation Valve of Blue POD,CVP_BCIV,CVP Conduit Isolation Valve of Blue POD fails to open,CVP_BCIV_FTO_NO_CCF,,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,00000396",,,,,,,
83,Conduit Valve Package Yellow,CVP_Y,CVP Conduit Isolation Valve of Yellow POD,CVP_YCIV,CVP Conduit Isolation Valve of Yellow POD fails to open,CVP_YCIV_FTO_NO_CCF,,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,00000396",,,,,,,
85,Conduit Valve Package Blue,CVP_B,CVP Check Valve of Blue POD,CVP_BCV,CVP Check Valve of Blue POD leakage/clogging,CVP_BCV_LKG_NO_CCF,,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,000000665",,,,,,,
86,Conduit Valve Package Yellow,CVP_Y,CVP Check Valve of Yellow POD,CVP_YCV,CVP Check Valve of Yellow POD leakage/clogging,CVP_YCV_LKG_NO_CCF,,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,000000665",,,,,,,
88,Conduit Valve Package Blue,CVP_B,CVP Solenoid Supply Valve of Blue POD,CVP_BSL,CVP Solenoid Supply Valve of Blue POD fails to function,CVP_BSL_FTF_NO_CCF,,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,000000396",,,,,,,
89,Conduit Valve Package Yellow,CVP_Y,CVP Solenoid Supply Valve of Yellow POD,CVP_YSL,CVP Solenoid Supply Valve of Yellow POD fails to function,CVP_YSL_FTF_NO_CCF,,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,00000396",,,,,,,
91,Communication Channel Blue,COMM_B,Communication channel A of Blue POD,COMM_BA,Communication Channel A of Blue POD fails to function,COMM_BA_FTF_NO_CCF,,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,0000089",,,,,,,
92,Communication Channel Blue,COMM_B,Communication channel B of Blue POD,COMM_BB,Communication Channel B of Blue POD fails to function,COMM_BB_FTF_NO_CCF,,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,0000089",,,,,,,
94,Communication Channel Yellow,COMM_Y,Communication channel A of Yellow POD,COMM_YA,Communication Channel A of Yellow POD fails to function,COMM_YA_FTF_NO_CCF,,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,0000089",,,,,,,
95,Communication Channel Yellow,COMM_Y,Communication channel B of Yellow POD,COMM_YB,Communication Channel B of Yellow POD fails to function,COMM_YB_FTF_NO_CCF,,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,0000089",,,,,,,
98,Conduit Line Blue,CL_B,Conduit Line of Blue POD,CL_B,Conduit Line of Blue POD leakage/clogging,CL_B_LKG_NO_CCF,,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,0000148",,,,,,,
99,Conduit Line Yellow,CL_Y,Conduit Line of Yellow POD,CL_Y,Conduit Line of Yellow POD leakage/clogging,CL_Y_LKG_NO_CCF,,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,0000148",,,,,,,
101,Acoustic Valve Package,AVP,AVP Isolation Valve,AVP_IV,AVP Isolation Valve fails to open,AVP_IV_FTO,,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,00000417",,,,,,,
102,Acoustic Valve Package,AVP,AVP Detent Valve for acoustic activation of UPR,AVP_UPRDV,AVP Dentent Valve for accoustic activation of UPR fails to open,AVP_UPRDV_FTO_NO_CCF,,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,00000396",,,,,,,
103,Acoustic Valve Package,AVP,AVP Detent Valve for acoustic activation of LPR,AVP_LPRDV,AVP Dentent Valve for accoustic activation of LPR fails to open,AVP_LPRDV_FTO_NO_CCF,,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,00000396",,,,,,,
105,Acoustic Valve Package,AVP,AVP Detent Valve for acoustic activation of BSR,AVP_BSRDV,AVP Dentent Valve for accoustic activation of BSR fails to open,AVP_BSRDV_FTO_NO_CCF,,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,00000396",,,,,,,
106,Acoustic Valve Package,AVP,AVP Detent Valve for acoustic activation of CSR,AVP_CSRDV,AVP Dentent Valve for accoustic activation of CSR fails to open,AVP_CSRDV_FTO_NO_CCF,,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,00000396",,,,,,,
108,Acoustic Valve Package,AVP,AVP Detent Valve for acoustic activation of BSR,AVP_BSRDV,AVP Dentent Valve for accoustic activation of BSR fails to open,AVP_BSRDV_FTO,,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,00000417",,,,,,,
109,Acoustic Valve Package,AVP,AVP Detent Valve for acoustic activation of CSR,AVP_CSRDV,AVP Dentent Valve for accoustic activation of CSR fails to open,AVP_CSRDV_FTO,,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,00000417",,,,,,,
110,Acoustic Valve Package,AVP,AVP Detent Valve for acoustic activation of connector LMRP,AVP_CLMRPDV,AVP Dentent Valve for accoustic activation of connector LMRP fails to open,AVP_CLMRPDV_FTF,,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,00000396",,,,,,,
111,Acoustic Valve Package,AVP,AVP Solenoid Valve for acoustic activation of UPR,AVP_UPRSL,AVP Solenoid Valve for accoustic activation of UPR fails to function,AVP_UPRSL_FTF_NO_CCF,,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,00000396",,,,,,,
112,Acoustic Valve Package,AVP,AVP Solenoid Valve for acoustic activation of LPR,AVP_LPRSL,AVP Solenoid Valve for accoustic activation of LPR fails to function,AVP_LPRSL_FTF_NO_CCF,,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,00000396",,,,,,,
114,Acoustic Valve Package,AVP,AVP Solenoid Valve for acoustic activation of BSR,AVP_BSRSL,AVP Solenoid Valve for accoustic activation of BSR fails to function,AVP_BSRSL_FTF_NO_CCF,,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,00000396",,,,,,,
115,Acoustic Valve Package,AVP,AVP Solenoid Valve for acoustic activation of CSR,AVP_CSRSL,AVP Solenoid Valve for accoustic activation of CSR fails to function,AVP_CSRSL_FTF_NO_CCF,,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,00000396",,,,,,,
117,Acoustic Valve Package,AVP,AVP Solenoid Valve for acoustic activation of BSR,AVP_BSRSL,AVP Solenoid Valve for accoustic activation of BSR fails to function,AVP_BSRSL_FTF,,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,00000417",,,,,,,
118,Acoustic Valve Package,AVP,AVP Solenoid Valve for acoustic activation of CSR,AVP_CSRSL,AVP Solenoid Valve for accoustic activation of CSR fails to function,AVP_CSRSL_FTF,,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,00000417",,,,,,,
119,Acoustic Valve Package,AVP,AVP Solenoid Valve for acoustic activation of connector LMRP,AVP_CLMRPSL,AVP Solenoid Valve for accoustic activation of connector LMRP fails to function,AVP_CLMRPSL_FTF,,,336,2184,43680,,,"0,1","0,9",1,,,,,Exponential,"0,00000396",,,,,,,
120,Battery Blue,BAT_B,Power Supply 27VDC for AMF cards of Blue POD,BAT_B27V,Power Supply 27VDC for AMF cards of Blue POD fails to supply,BAT_B27V_FTS_NO_CCF,,,,2184,43680,"0,6",,,"0,9",1,,,,,Exponential,"0,0000095",,,,,,,
121,Battery Yellow,BAT_Y,Power Supply 27VDC for AMF cards of Yellow POD,BAT_Y27V,Power Supply 27VDC for AMF cards of Yellow POD fails to supply,BAT_Y27V_FTS_NO_CCF,,,,2184,43680,"0,6",,,"0,9",1,,,,,Exponential,"0,0000095",,,,,,,
123,Battery Blue,BAT_B,Power Supply 9VDC A for AMF cards of Blue POD,BAT_BA9V,Power Supply 9VDC A for AMF cards of Blue POD fails to supply,BAT_BA9V_FTS_NO_CCF,,,,2184,43680,"0,6",,,"0,9",1,,,,,Exponential,"0,0000095",,,,,,,
124,Battery Blue,BAT_B,Power Supply 9VDC B for AMF cards of Blue POD,BAT_BB9V,Power Supply 9VDC B for AMF cards of Blue POD fails to supply,BAT_BB9V_FTS_NO_CCF,,,,2184,43680,"0,6",,,"0,9",1,,,,,Exponential,"0,0000095",,,,,,,
126,Battery Yellow,BAT_Y,Power Supply 9VDC A for AMF cards of Yellow POD,BAT_YA9V,Power Supply 9VDC A for AMF cards of Yellow POD fails to supply,BAT_YA9V_FTS_NO_CCF,,,,2184,43680,"0,6",,,"0,9",1,,,,,Exponential,"0,0000095",,,,,,,
127,Battery Yellow,BAT_Y,Power Supply 9VDC B for AMF cards of Yellow POD,BAT_YB9V,Power Supply 9VDC B for AMF cards of Yellow POD fails to supply,BAT_YB9V_FTS_NO_CCF,,,,2184,43680,"0,6",,,"0,9",1,,,,,Exponential,"0,0000095",,,,,,,
130,Pressure Transmitter Blue,PT_B,Hydrostatic Head Pressure Transmitter of Blue POD,PT_BHH,Hydrostatic Head Pressure Transmitter of Blue POD fails to function,PT_BHH_FTF_NO_CCF,,,,2184,43680,"0,6",,,"0,9",1,,,,,Exponential,"0,00000122",,,,,,,
131,Pressure Transmitter Blue,PT_B,Conduit Read back Pressure Transmitter of Blue POD,PT_BCR,Conduit Read back  Pressure Transmitter of Blue POD fails to function,PT_BCR_FTF_NO_CCF,,,,2184,43680,"0,6",,,"0,9",1,,,,,Exponential,"0,00000122",,,,,,,
133,Pressure Transmitter Yelllow,PT_Y,Hydrostatic Head Pressure Transmitter of Yellow POD,PT_YHH,Hydrostatic Head Pressure Transmitter of Yellow POD fails to function,PT_YHH_FTF_NO_CCF,,,,2184,43680,"0,6",,,"0,9",1,,,,,Exponential,"0,00000122",,,,,,,
134,Pressure Transmitter Yelllow,PT_Y,Conduit Read back Pressure Transmitter of Yellow POD,PT_YCR,Conduit Read back  Pressure Transmitter of Yellow POD fails to function,PT_YCR_FTF_NO_CCF,,,,2184,43680,"0,6",,,"0,9",diagnostic_coverage,,,,,Exponential,"0,00000122",,,,,,,
137,Acoustic System Topside,AC_TS,Acoustic Portable Control Unit Topside,AC_PTS,Acoustic System Portable Control Unit Topside fails to function,AC_PTS_FTF_NO_CCF,,,,2184,43680,,,,"0,9",1,,,,,Exponential,"0,00000864",,,,,,,
138,Acoustic System Topside,AC_TS,Acoustic Fixed Unit Topside,AC_FTS,Acoustic System Fixed Unit Topside fails to function,AC_FTS_FTF_NO_CCF,,,,2184,43680,"0,6",,,"0,9",1,,,,,Exponential,"0,00000864",,,,,,,
140,Acoustic System Subsea,AC_SS,Acoustic System Subsea,AC_SS,Acoustic System Subsea fails to function,AC_SS_FTF,,,336,2184,43680,,,"0,6","0,9",1,,,,,Exponential,"0,0000096",,,,,,,
141,Acoustic Transponder,AC_TTA,Acoustic Transponder and Transducer,AC_TTA,Acoustic System Transponder and Transducer fail to function,AC_TTA_FTF,,,336,2184,43680,,,"0,6","0,9",1,,,,,Exponential,"0,000038",,,,,,,
142,Accumulator Stack Mounted,ACC_SM,Accumulator Stack Mounted,ACC_SM,Accumulator Stack Mounted fails to supply,ACC_SM_FTS,,,,2184,43680,"0,9",,,"0,6",1,,,,,Exponential,"0,0000278",,,,,,,
143,Accumulator LMRP,ACC_LMRP,Accumulator LMRP,ACC_LMRP,Accumulator LMRP fails to supply,ACC_LMRP_FTS,,,336,,43680,"0,9",,"0,6",,1,,,,,Exponential,"0,0000278",,,,,,,
144,Hydraulic Power Unit,ACC_HPU,Hydraulic Power Unit Topside,ACC_HPU,Hydraulic Power Unit Topside fails to function,ACC_HPU_FTF,,168,,,43680,1,,,,1,,x,72,,Exponential,"0,00000083",,,,,,,
145,Control Panel,PN,Driller Control Panel (DCP),PN_DCP,Driller Control Panel (DCP) fails to function,PN_DCP_FTF_NO_CCF,,,336,,43680,"0,6",,"0,9",,1,,x,48,,Exponential,"0,0000036",,,,,,,
146,Control Panel,PN,Toolpusher Control Panel (TCP),PN_TCP,Toolpusher Control Panel (TCP) fails to function,PN_TCP_FTF_NO_CCF,,,336,,43680,"0,6",,"0,9",,1,,x,48,,Exponential,"0,0000036",,,,,,,
148,Connector,CN,Connector LMRP,CN_LMRP,Connector of LMRP fails to unlock,CN_LMRP_FTU,,,,2184,43680,,,,"0,9",1,,,,,Exponential,"0,00000138",,,,,,,
149,Connector,CN,Connector LMRP Shuttle Valve SV1,CN_LMRP_SV1,Connector LMRP Shuttle Valve SV1  ROV or other fails to function,CN_LMRP_SV1_FTF,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000396",,,,,,,
,Connector,CN,Connector LMRP Shuttle Valve SV2,CN_LMRP_SV2,Connector LMRP Shuttle Valve SV2 Modular PODs or Acoustic AMF fails to function,CN_LMRP_SV2_FTF,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000396",,,,,,,
151,Connector,CN,Connector LMRP Shuttle Valve SV3,CN_LMRP_SV3,Connector LMRP Shuttle Valve SV3 Modular PODs fails to function,CN_LMRP_SV3_FTF_NO_CCF,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000396",,,,,,,
152,Connector,CN,Connector LMRP Shuttle Valve SV4,CN_LMRP_SV4,Connector LMRP Shuttle Valve SV4 Acoustic or AMF fails to function,CN_LMRP_SV4_FTF_NO_CCF,,168,336,,43680,,"0,9","0,9",,1,,,,,Exponential,"0,00000396",,,,,,,
154,Operator,OP,Drilling Operator,OP_DCP,Drilling Operator do not push button in time,OP_DCP_FTO,,,,,43680,,,,,1,,,,,Probability,,,,,,,,"0,001"
155,Operator,OP,Toolpusher,OP_TCP,Toolpusher do not push button in time,OP_TCP_FTO,,,,,43680,,,,,1,,,,,Probability,,,,,,,,"0,001"
156,Operator,OP,Drilling/Toolpusher Operator,OP_POD,Drilling Operator do not switch to stanby POD,OP_POD_FTC,,,,,43680,,,,,1,,,,,Probability,,,,,,,,"0,001"
157,Operator,OP,Drilling/Toolpusher Operator,OP_AMF,Drilling Operator do not arm the AMF,OP_AMF_FTC,,,,,43680,,,,,1,,,,,Probability,,,,,,,,"0,001"
158,Operator,OP,Drilling/Toopusher Operator,OP_EDS,Operator do not push EDS Button in Time,OP_EDS_FTO,,,,,43680,,,,,1,,,,,Probability,,,,,,,,"0,001"
